Hit,Text_id,Context_before,Query_item,Context_after,Tagged_context_before,Tagged_query_item,Tagged_context_after,Matchbegin_corpus_position,Matchend_corpus_position,V1,Permittee,V2,V2_type,V2_permittee_control,V2_valency,Permitter_semantics,Permittee_semantics,Com_channel,BNC_domain,Domain_use,V1_imperative,V2_length,V1_distance
378,BN4,"A number of the paper products in daily use do not need to be made from virgin paper . Neither do they need to be bleached . Newspapers , toilet paper or tissues are all short life items which could be made from recycled reserves . Moreover , methods now",<<< permit >>>,"recycled paper to have the same aesthetic appeal as virgin pulp . This book is printed on recycled paper . It is perfectly feasible for manufacturers to package their goods in recycled paper without loss of appeal or quality , yet at present only 27 per cent of the paper we consume","A_AT0 number_NN1 of_PRF the_AT0 paper_NN1 products_NN2 in_PRP daily_AJ0 use_NN1 do_VDB not_XX0 need_VVI to_TO0 be_VBI made_VVN from_PRP virgin_AJ0 paper_NN1 ._PUN Neither_AV0 do_VDB they_PNP need_VVI to_TO0 be_VBI bleached_VVN ._PUN Newspapers_NN2 ,_PUN toilet_NN1-VVB paper_NN1 or_CJC tissues_NN2 are_VBB all_DT0 short_AJ0 life_NN1 items_NN2 which_DTQ could_VM0 be_VBI made_VVN from_PRP recycled_AJ0 reserves_NN2 ._PUN Moreover_AV0 ,_PUN methods_NN2 now_AV0",<<< permit_VVB >>>,"recycled_AJ0 paper_NN1 to_TO0 have_VHI the_AT0 same_DT0 aesthetic_AJ0 appeal_NN1 as_CJS virgin_AJ0 pulp_NN1 ._PUN This_DT0 book_NN1 is_VBZ printed_VVN on_PRP recycled_AJ0 paper_NN1 ._PUN It_PNP is_VBZ perfectly_AV0 feasible_AJ0 for_PRP manufacturers_NN2 to_TO0 package_VVI their_DPS goods_NN2 in_PRP recycled_AJ0 paper_NN1 without_PRP loss_NN1 of_PRF appeal_NN1 or_CJC quality_NN1 ,_PUN yet_AV0 at_AV0 present only_AV0 27_CRD per_NN0 cent of_PRF the_AT0 paper_NN1 we_PNP consume_VVB",21585441,21585441,permit,recycled paper  ,have,verb,no control,active,inanimate,inanimate,written,applied_sci,personal,non-imperative,4,2
379,BN8,"was contemporaneous after 1981 , whilst private investment led public in Manchester and California Kirkbride . COMMUNITY REPRESENTATION IN THE NORTH SIDE Given the disparate investment pattern in the North Side , which appears to favour areas previously showing a greater tendency to revitalise , and an investment strategy that",<<< permits >>>,"higher income rehabilitators to use government funds for revitalising increasingly fashionable homes , what guides programme investment in an alleged attempt to alleviate deprivation ? The nature of community representation in Pittsburgh has been such that , while obliged to consult groups over the allocation of federally originating money ,","was_VBD contemporaneous_AJ0 after_PRP 1981_CRD ,_PUN whilst_CJS private_AJ0 investment_NN1 led_VVD-VVN public_NN1-AJ0 in_PRP Manchester_NP0 and_CJC California_NP0 Kirkbride_NP0 ._PUN COMMUNITY_NN1 REPRESENTATION_NN1 IN_PRP THE_AT0 NORTH_NN1 SIDE_NN1 Given_VVN the_AT0 disparate_AJ0 investment_NN1 pattern_NN1 in_PRP the_AT0 North_NN1 Side_NN1 ,_PUN which_DTQ appears_VVZ to_TO0 favour_VVI areas_NN2 previously_AV0 showing_VVG a_AT0 greater_AJC tendency_NN1 to_TO0 revitalise_VVI ,_PUN and_CJC an_AT0 investment_NN1 strategy_NN1 that_CJT",<<< permits_VVZ >>>,"higher_AJC income_NN1 rehabilitators_NN2 to_TO0 use_VVI government_NN1 funds_NN2 for_PRP revitalising_VVG increasingly_AV0 fashionable_AJ0 homes_NN2 ,_PUN what_DTQ guides_VVZ programme_NN1 investment_NN1 in_PRP an_AT0 alleged_AJ0 attempt_NN1 to_TO0 alleviate_VVI deprivation_NN1 ?_PUN The_AT0 nature_NN1 of_PRF community_NN1 representation_NN1 in_PRP Pittsburgh_NP0 has_VHZ been_VBN such_DT0 that_CJT ,_PUN while_CJS obliged_AJ0 to_TO0 consult_VVI groups_NN2 over_PRP the_AT0 allocation_NN1 of_PRF federally_AV0 originating_VVG-AJ0 money_NN1 ,_PUN",21716060,21716060,permit,higher income rehabilitators,use,verb,control,active,inanimate,animate,written,world_affairs,public,non-imperative,3,3
382,BN9,", of dismissing sides consistently within 50 overs , he could easily revolutionise future World cups &mdash; certainly in Australia . He would set the television programmers ' schedule on its head ! What will the Pakistani captain be proposing next ? Perhaps the replacement of the flawed philosophy which",<<< permits >>>,"the best batsmen in a team to bat for an unlimited number of deliveries , but restricts the number of overs the best bowlers in a side can send down ? Surely he would not dare to ask that Akram and Waquar Younis be permitted 25 overs each and that",",_PUN of_PRF dismissing_VVG-AJ0 sides_NN2 consistently_AV0 within_PRP 50_CRD overs_NN2 ,_PUN he_PNP could_VM0 easily_AV0 revolutionise_VVI future_AJ0 World_NN1 cups_NN2-VVZ &mdash;_PUN certainly_AV0 in_PRP Australia_NP0 ._PUN He_PNP would_VM0 set_VVI the_AT0 television_NN1 programmers_NN2 '_POS schedule_NN1 on_PRP its_DPS head_NN1 !_PUN What_DTQ will_VM0 the_AT0 Pakistani_AJ0-NN1 captain_NN1 be_VBI proposing_VVG next_ORD ?_PUN Perhaps_AV0 the_AT0 replacement_NN1 of_PRF the_AT0 flawed_AJ0 philosophy_NN1 which_DTQ",<<< permits_VVZ >>>,"the_AT0 best_AJS batsmen_NN2 in_PRP a_AT0 team_NN1 to_TO0 bat_VVI for_PRP an_AT0 unlimited_AJ0 number_NN1 of_PRF deliveries_NN2 ,_PUN but_CJC restricts_VVZ the_AT0 number_NN1 of_PRF overs_NN2 the_AT0 best_AJS bowlers_NN2 in_PRP a_AT0 side_NN1 can_VM0 send_VVI down_AVP ?_PUN Surely_AV0 he_PNP would_VM0 not_XX0 dare_VVI to_TO0 ask_VVI that_CJT Akram_NP0 and_CJC Waquar_NP0 Younis_NP0-NN1 be_VBI permitted_VVN 25_CRD overs_NN2 each_DT0 and_CJC that_CJT",21734356,21734356,permit,the best batsmen in a team ,bat,verb,control,active,inanimate,animate,written,leisure,personal,non-imperative,3,6
386,BNE,"data held for any purpose or purposes shall not be used or disclosed in any manner incompatible with that purpose or purposes &equo; . This sounds a very broad and fine principle , and so it is . But unfortunately the Act is framed in such a way as to",<<< permit >>>,"it to be circumvented . The principle appears to prohibit disclosure of personal data to third parties ; in fact such disclosure is permitted either if the data user registers his intention so to disclose , or if the circumstances are covered by one of the controversial &bquo; non-disclosure exemptions","data_NN0 held_VVN-VVD for_PRP any_DT0 purpose_NN1 or_CJC purposes_NN2 shall_VM0 not_XX0 be_VBI used_VVN-AJ0 or_CJC disclosed_VVN in_PRP any_DT0 manner_NN1 incompatible_AJ0 with_PRP that_DT0 purpose_NN1 or_CJC purposes_NN2 &equo;_PUQ ._PUN This_DT0 sounds_VVZ a_AT0 very_AV0 broad_AJ0 and_CJC fine_AJ0 principle_NN1 ,_PUN and_CJC so_AV0 it_PNP is_VBZ ._PUN But_CJC unfortunately_AV0 the_AT0 Act_NN1 is_VBZ framed_VVN in_PRP such_DT0 a_AT0 way_NN1 as_CJS to_TO0",<<< permit_VVI >>>,"it_PNP to_TO0 be_VBI circumvented_VVN ._PUN The_AT0 principle_NN1 appears_VVZ to_TO0 prohibit_VVI disclosure_NN1 of_PRF personal_AJ0 data_NN0 to_PRP third_ORD parties_NN2 ;_PUN in_PRP fact_NN1 such_DT0 disclosure_NN1 is_VBZ permitted_VVN either_AV0 if_CJS the_AT0 data_NN0 user_NN1 registers_VVZ his_DPS intention_NN1 so_AV0 to_TO0 disclose_VVI ,_PUN or_CJC if_CJS the_AT0 circumstances_NN2 are_VBB covered_VVN by_PRP one_CRD of_PRF the_AT0 controversial_AJ0 &bquo;_PUQ non-disclosure_NN1 exemptions_NN2",21940739,21940739,permit,it,circumvent,verb,no control,passive,inanimate,inanimate,written,soc_sci,public,non-imperative,10,1
387,BNE,"approved by many religious authorities as a means of achieving fertility in a couple who would otherwise be childless . However , the practice is condemned in a recent announcement made by the Vatican on Respect for Human Life in its Origins and on the Dignity of Procreation , which",<<< permits >>>,"a child to be conceived only as a result of intercourse within marriage . Artificial insemination by donor ( AID ) , i.e. by a man other than the husband , can be used to achieve fertility where the husband lacks spermatozoa , or is otherwise infertile , or if the","approved_VVN by_PRP many_DT0 religious_AJ0 authorities_NN2 as_PRP a_AT0 means_NN0 of_PRF achieving_VVG fertility_NN1 in_PRP a_AT0 couple_NN1 who_PNQ would_VM0 otherwise_AV0 be_VBI childless_AJ0 ._PUN However_AV0 ,_PUN the_AT0 practice_NN1 is_VBZ condemned_VVN in_PRP a_AT0 recent_AJ0 announcement_NN1 made_VVN by_PRP the_AT0 Vatican_NP0 on_PRP Respect_NN1 for_PRP Human_AJ0 Life_NN1 in_PRP its_DPS Origins_NN2 and_CJC on_PRP the_AT0 Dignity_NN1 of_PRF Procreation_NN1 ,_PUN which_DTQ",<<< permits_VVZ >>>,"a_AT0 child_NN1 to_TO0 be_VBI conceived_VVN only_AV0 as_PRP a_AT0 result_NN1 of_PRF intercourse_NN1 within_PRP marriage_NN1 ._PUN Artificial_AJ0 insemination_NN1 by_PRP donor_NN1 (_PUL AID_NN1-VVB )_PUR ,_PUN i.e._AV0 by_PRP a_AT0 man_NN1 other_PRP than the_AT0 husband_NN1 ,_PUN can_VM0 be_VBI used_VVN to_TO0 achieve_VVI fertility_NN1 where_CJS-AVQ the_AT0 husband_NN1 lacks_VVZ spermatozoa_NN1 ,_PUN or_CJC is_VBZ otherwise_AV0 infertile_AJ0 ,_PUN or_CJC if_CJS the_AT0",21947193,21947193,permit,a child ,conceive,verb,no control,passive,inanimate,animate,written,soc_sci,public,non-imperative,8,2
394,BP0,"were practical ones , to do with comfort and nursing , and the mediciner answered them . Presently Diniz himself , released from duty , walked into the kitchen . The boy said , &bquo; You came . &equo; He paused . He said , &bquo; Senhor Abul will not",<<< permit >>>,"me to dine quite so lavishly . &equo; &bquo; You know what would happen if you did , &equo; the doctor said equably . &bquo; Here is soup . Sit . How are the pains ? &equo; &bquo; Worse , &equo; said Diniz . He looked at Nicholas . He","were_VBD practical_AJ0 ones_NN2 ,_PUN to_TO0 do_VDI with_PRP comfort_NN1 and_CJC nursing_NN1-AJ0 ,_PUN and_CJC the_AT0 mediciner_NN1 answered_VVD them_PNP ._PUN Presently_AV0 Diniz_VVB himself_PNX ,_PUN released_VVN from_PRP duty_NN1 ,_PUN walked_VVD into_PRP the_AT0 kitchen_NN1 ._PUN The_AT0 boy_NN1 said_VVD ,_PUN &bquo;_PUQ You_PNP came_VVD ._PUN &equo;_PUQ He_PNP paused_VVD ._PUN He_PNP said_VVD ,_PUN &bquo;_PUQ Senhor_NP0 Abul_NP0-NN1 will_VM0 not_XX0",<<< permit_VVI >>>,"me_PNP to_TO0 dine_VVI quite_AV0 so_AV0 lavishly_AV0 ._PUN &equo;_PUQ &bquo;_PUQ You_PNP know_VVB what_DTQ would_VM0 happen_VVI if_CJS you_PNP did_VDD ,_PUN &equo;_PUQ the_AT0 doctor_NN1 said_VVD equably_AV0 ._PUN &bquo;_PUQ Here_AV0 is_VBZ soup_NN1 ._PUN Sit_VVB ._PUN How_AVQ are_VBB the_AT0 pains_NN2 ?_PUN &equo;_PUQ &bquo;_PUQ Worse_AJC ,_PUN &equo;_PUQ said_VVD Diniz_NP0 ._PUN He_PNP looked_VVD at_PRP Nicholas_NP0 ._PUN He_PNP",22490793,22490793,permit,me  ,dine,verb,control,active,animate,animate,written,imaginative,personal,non-imperative,4,1
395,BP1,"look with his usual amusement . And something more . She was learning to recognize the effect she had on men , and to her surprise she saw the hint of desire creep into his gaze . His smiling lips almost curved into an invitation which his calling would not",<<< permit >>>,"him to express . She thought over this new development carefully and decided to encourage it . With a little guile her visit to Chertsey might even be achieved quite soon . That was Thursday . She had to wait three more days until Sunday , and it was difficult","look_NN1 with_PRP his_DPS usual_AJ0 amusement_NN1 ._PUN And_CJC something_PNI more_DT0 ._PUN She_PNP was_VBD learning_VVG to_TO0 recognize_VVI the_AT0 effect_NN1 she_PNP had_VHD on_PRP men_NN2 ,_PUN and_CJC to_PRP her_DPS surprise_NN1 she_PNP saw_VVD the_AT0 hint_NN1 of_PRF desire_NN1 creep_NN1-VVB into_PRP his_DPS gaze_NN1 ._PUN His_DPS smiling_AJ0 lips_NN2 almost_AV0 curved_VVN-AJ0 into_PRP an_AT0 invitation_NN1 which_DTQ his_DPS calling_NN1 would_VM0 not_XX0",<<< permit_VVI >>>,"him_PNP to_TO0 express_VVI ._PUN She_PNP thought_VVD over_AVP-PRP this_DT0 new_AJ0 development_NN1 carefully_AV0 and_CJC decided_VVD to_TO0 encourage_VVI it_PNP ._PUN With_PRP a_AT0 little_AJ0 guile_NN1 her_DPS visit_NN1 to_PRP Chertsey_NP0 might_VM0 even_AV0 be_VBI achieved_VVN quite_AV0 soon_AV0 ._PUN That_DT0 was_VBD Thursday_NP0 ._PUN She_PNP had_VHD to_TO0 wait_VVI three_CRD more_DT0 days_NN2 until_PRP Sunday_NP0 ,_PUN and_CJC it_PNP was_VBD difficult_AJ0",22523555,22523555,permit,him  ,express,verb,control,active,inanimate,animate,written,imaginative,personal,non-imperative,7,1
399,BP4,women who performed fellatio on 43% their husbands ORGASM : CAUSES OF FIRST EXPERIENCE FOR WOMEN 1 Masturbation 40% 2 Intercourse 27% 3 Petting 24% 4 Dreaming 5% 5 Homosexual encounters 3% 6 Psycho-sexual stimuli 1% ORIENTAL SCRUPLES In 1926 China became the first country in the Far East to,<<< permit >>>,"kissing to be shown on its cinema screens . Across the sea in Japan things were viewed differently . There kissing was deemed by some in positions of authority to be &bquo; unclean , immodest , indecorous , ungraceful and likely to spread disease &equo; . As a result ,",women_NN2 who_PNQ performed_VVD fellatio_NN1 on_PRP 43%_NN0 their_DPS husbands_NN2 ORGASM_NN1 :_PUN CAUSES_NN2 OF_PRF FIRST_ORD EXPERIENCE_NN1-VVB FOR_PRP WOMEN_NN2 1_CRD Masturbation_NN1 40%_NN0 2_CRD Intercourse_NN1 27%_NN0 3_CRD Petting_VVG 24%_NN0 4_CRD Dreaming_VVG 5%_NN0 5_CRD Homosexual_NN1 encounters_VVZ 3%_NN0 6_CRD Psycho-sexual_AJ0 stimuli_NN2 1%_NN0 ORIENTAL_AJ0 SCRUPLES_NN2 In_PRP 1926_CRD China_NP0 became_VVD the_AT0 first_ORD country_NN1 in_PRP the_AT0 Far_AJ0 East_NN1 to_TO0,<<< permit_VVI >>>,"kissing_VVG-NN1 to_TO0 be_VBI shown_VVN on_PRP its_DPS cinema_NN1 screens_NN2 ._PUN Across_PRP the_AT0 sea_NN1 in_PRP Japan_NP0 things_NN2 were_VBD viewed_VVN differently_AV0 ._PUN There_AV0 kissing_NN1-VVG was_VBD deemed_VVN by_PRP some_DT0 in_PRP positions_NN2 of_PRF authority_NN1 to_TO0 be_VBI &bquo;_PUQ unclean_AJ0 ,_PUN immodest_AJ0 ,_PUN indecorous_AJ0 ,_PUN ungraceful_AJ0 and_CJC likely_AJ0 to_TO0 spread_VVI disease_NN1 &equo;_PUQ ._PUN As_PRP a_AT0 result_NN1 ,_PUN",22587831,22587831,permit,kissing  ,show,verb,no control,passive,animate,inanimate,written,leisure,personal,non-imperative,4,1
400,BP4,"a woman to a man by means of surgery . As evidence of his/her new status , the patient was fitted with an artificial penis capable of having an erection . As The New York Times informed its readers , &bquo; The doctors said the penis contained a tiny hydraulic system that",<<< permitted >>>,"a fluid to be pumped from a reservoir in the abdomen into the penis to cause erection . &equo; PENIS CAPTIVUS One of the more distressing consequences of sex without serenity is a rare , but no less alarming condition that prevents withdrawal when all is done and spent .","a_AT0 woman_NN1 to_PRP a_AT0 man_NN1 by_PRP means of surgery_NN1 ._PUN As_CJS evidence_NN1 of_PRF his/her_DPS new_AJ0 status_NN1 ,_PUN the_AT0 patient_NN1 was_VBD fitted_VVN with_PRP an_AT0 artificial_AJ0 penis_NN1 capable_AJ0 of_PRF having_VHG an_AT0 erection_NN1 ._PUN As_PRP-CJS The_AT0 New_NP0 York_NP0 Times_NN2 informed_VVD its_DPS readers_NN2 ,_PUN &bquo;_PUQ The_AT0 doctors_NN2 said_VVD the_AT0 penis_NN1 contained_VVD a_AT0 tiny_AJ0 hydraulic_AJ0 system_NN1 that_CJT",<<< permitted_VVD >>>,"a_AT0 fluid_NN1 to_TO0 be_VBI pumped_VVN from_PRP a_AT0 reservoir_NN1 in_PRP the_AT0 abdomen_NN1 into_PRP the_AT0 penis_NN1 to_TO0 cause_VVI erection_NN1 ._PUN &equo;_PUQ PENIS_NN1 CAPTIVUS_NN1-NP0 One_CRD of_PRF the_AT0 more_AV0 distressing_AJ0 consequences_NN2 of_PRF sex_NN1 without_PRP serenity_NN1 is_VBZ a_AT0 rare_AJ0 ,_PUN but_CJC no_AT0 less_AV0 alarming_AJ0 condition_NN1 that_CJT prevents_VVZ withdrawal_NN1 when_CJS all_DT0 is_VBZ done_VDN and_CJC spent_VVD-VVN ._PUN",22588247,22588247,permit,a fluid ,pump,verb,no control,passive,inanimate,inanimate,written,leisure,personal,non-imperative,4,2
401,BP5,"recognise the validity of that authorisation , and to allow it to do so without making additional &bquo; authorisation &equo; requirements to the bank . For that reason , authorisation under EC rules by a member state is now referred to as &bquo; the single passport &equo; , since it",<<< permits >>>,"the beneficiary to rely upon that authorisation from its home country throughout the Community . A similar system applies to the insurance and investment services sectors . For example , the supervision of firms which provide investment services will also be guided by the principle of &bquo; home country control &equo;","recognise_VVI the_AT0 validity_NN1 of_PRF that_DT0 authorisation_NN1 ,_PUN and_CJC to_TO0 allow_VVI it_PNP to_TO0 do_VDI so_AV0 without_PRP making_VVG additional_AJ0 &bquo;_PUQ authorisation_NN1 &equo;_PUQ requirements_NN2 to_PRP the_AT0 bank_NN1 ._PUN For_PRP that_DT0 reason_NN1 ,_PUN authorisation_NN1 under_PRP EC_NP0 rules_NN2-VVZ by_PRP a_AT0 member_NN1 state_NN1 is_VBZ now_AV0 referred_VVN-VVD to_PRP as_PRP &bquo;_PUQ the_AT0 single_AJ0 passport_NN1 &equo;_PUQ ,_PUN since_CJS it_PNP",<<< permits_VVZ >>>,"the_AT0 beneficiary_NN1 to_TO0 rely_VVI upon_PRP that_DT0 authorisation_NN1 from_PRP its_DPS home_NN1 country_NN1 throughout_PRP the_AT0 Community_NN1 ._PUN A_AT0 similar_AJ0 system_NN1 applies_VVZ to_PRP the_AT0 insurance_NN1 and_CJC investment_NN1 services_NN2 sectors_NN2 ._PUN For_AV0 example ,_PUN the_AT0 supervision_NN1 of_PRF firms_NN2 which_DTQ provide_VVB investment_NN1 services_NN2 will_VM0 also_AV0 be_VBI guided_VVN by_PRP the_AT0 principle_NN1 of_PRF &bquo;_PUQ home_NN1 country_NN1 control_NN1-VVB &equo;_PUQ",22604733,22604733,permit,the beneficiary  ,rely on,phrasal verb,control,active,inanimate,animate,written,commerce,public,non-imperative,6,2
402,BP5,"to recognise qualifications obtained in other member states . A professional body may find that the qualifications of an applicant to the profession it regulates are only partially equivalent to those required of their own nationals . If this is the case , the European Court held that it must",<<< permit >>>,"the applicant to establish that since obtaining his/her qualifications , he/she had gained further knowledge and qualifications to bring him/her up to the necessary standard . Techniques of harmonisation &mdash; from uniformity to equivalence To reduce the complexities and costs of complying with a number of different requirements in different member","to_TO0 recognise_VVI qualifications_NN2 obtained_VVN in_PRP other_AJ0 member_NN1 states_NN2 ._PUN A_AT0 professional_AJ0 body_NN1 may_VM0 find_VVI that_CJT the_AT0 qualifications_NN2 of_PRF an_AT0 applicant_NN1 to_PRP the_AT0 profession_NN1 it_PNP regulates_VVZ are_VBB only_AV0 partially_AV0 equivalent_AJ0 to_PRP those_DT0 required_VVN-AJ0 of_PRF their_DPS own_DT0 nationals_NN2 ._PUN If_CJS this_DT0 is_VBZ the_AT0 case_NN1 ,_PUN the_AT0 European_AJ0 Court_NN1 held_VVD that_CJT it_PNP must_VM0",<<< permit_VVI >>>,"the_AT0 applicant_NN1 to_TO0 establish_VVI that_CJT since_PRP obtaining_VVG his/her_DPS qualifications_NN2 ,_PUN he/she_PNP had_VHD gained_VVN further_AV0 knowledge_NN1 and_CJC qualifications_NN2 to_TO0 bring_VVI him/her_PNP up_PRP to the_AT0 necessary_AJ0 standard_NN1 ._PUN Techniques_NN2 of_PRF harmonisation_NN1 &mdash;_PUN from_PRP uniformity_NN1 to_PRP equivalence_NN1 To_TO0 reduce_VVI the_AT0 complexities_NN2 and_CJC costs_NN2 of_PRF complying_VVG with_PRP a_AT0 number_NN1 of_PRF different_AJ0 requirements_NN2 in_PRP different_AJ0 member_NN1",22608816,22608816,permit,the applicant  ,establish,verb,control,active,animate,animate,written,commerce,public,non-imperative,9,2
403,BP5,"the Directive is largely modelled on the Company Securities ( Insider Dealing ) Act 1985 , as amended by the Financial Services Act 1986 . The Directive applies to all transferable securities traded on a stock exchange in a member state but in the case of off-market dealings it will",<<< permit >>>,"a member state to limit the application of its domestic legislation ( as the UK does at present ) to dealings with or through a professional intermediary such as a stockbroker . The Directive applies not only to listed securities , but also to those quoted or dealt in with less formality","the_AT0 Directive_NN1 is_VBZ largely_AV0 modelled_VVN on_PRP the_AT0 Company_NN1 Securities_NN2 (_PUL Insider_NN1 Dealing_VVG-NN1 )_PUR Act_NN1 1985_CRD ,_PUN as_CJS amended_VVN by_PRP the_AT0 Financial_AJ0 Services_NN2 Act_NN1 1986_CRD ._PUN The_AT0 Directive_NN1 applies_VVZ to_PRP all_DT0 transferable_AJ0 securities_NN2 traded_VVN-VVD on_PRP a_AT0 stock_NN1 exchange_NN1 in_PRP a_AT0 member_NN1 state_NN1 but_CJC in_PRP the_AT0 case_NN1 of_PRF off-market_AJ0 dealings_NN2 it_PNP will_VM0",<<< permit_VVI >>>,"a_AT0 member_NN1 state_NN1 to_TO0 limit_VVI the_AT0 application_NN1 of_PRF its_DPS domestic_AJ0 legislation_NN1 (_PUL as_CJS-PRP the_AT0 UK_NP0 does_VDZ at_AV0 present )_PUR to_PRP dealings_NN2 with_PRP or_CJC through_PRP a_AT0 professional_AJ0 intermediary_NN1 such_PRP as a_AT0 stockbroker_NN1 ._PUN The_AT0 Directive_NN1 applies_VVZ not_XX0 only_AV0 to_PRP listed_AJ0 securities_NN2 ,_PUN but_CJC also_AV0 to_PRP those_DT0 quoted_VVN-AJ0 or_CJC dealt_VVD in_AVP with_PRP less_DT0 formality_NN1",22615857,22615857,permit,a member state ,limit,verb,control,active,inanimate,animate,written,commerce,public,non-imperative,5,3
406,BP5,amount of finance that it requires ; the interest of the target company not to have its business disrupted for too long ; and the interests of the shareholders in the target company to weigh up the merits of the bid . There are a limited number of exceptions that,<<< permit >>>,"the bid to be withdrawn or declared void . These include situations where there are competing bids , or where the acquisition is prohibited by the merger control authorities , or where a condition of the bid announced in the offer document is not fulfilled or , exceptionally , where",amount_NN1 of_PRF finance_NN1-VVB that_CJT it_PNP requires_VVZ ;_PUN the_AT0 interest_NN1 of_PRF the_AT0 target_NN1 company_NN1 not_XX0 to_TO0 have_VHI its_DPS business_NN1 disrupted_VVN-VVD for_PRP too_AV0 long_AV0-AJ0 ;_PUN and_CJC the_AT0 interests_NN2 of_PRF the_AT0 shareholders_NN2 in_PRP the_AT0 target_NN1 company_NN1 to_TO0 weigh_VVI up_AVP the_AT0 merits_NN2 of_PRF the_AT0 bid_NN1 ._PUN There_EX0 are_VBB a_AT0 limited_AJ0 number_NN1 of_PRF exceptions_NN2 that_CJT,<<< permit_VVB >>>,"the_AT0 bid_NN1 to_TO0 be_VBI withdrawn_VVN or_CJC declared_AJ0-VVD void_NN1-AJ0 ._PUN These_DT0 include_VVB situations_NN2 where_AVQ there_EX0 are_VBB competing_AJ0-VVG bids_NN2 ,_PUN or_CJC where_CJS-AVQ the_AT0 acquisition_NN1 is_VBZ prohibited_VVN by_PRP the_AT0 merger_NN1 control_NN1-VVB authorities_NN2 ,_PUN or_CJC where_CJS-AVQ a_AT0 condition_NN1 of_PRF the_AT0 bid_NN1 announced_VVN-VVD in_PRP the_AT0 offer_NN1 document_NN1 is_VBZ not_XX0 fulfilled_VVN-AJ0 or_CJC ,_PUN exceptionally_AV0 ,_PUN where_CJS-AVQ",22632778,22632778,permit,the bid  ,withdraw,verb,no control,passive,inanimate,inanimate,written,commerce,public,non-imperative,8,2
408,BPC,"and facilities exist for the siting of wheelchairs at ground level at all performances . Passes may be issued which will allow access by car , coach or ambulance tot he esplanade , but they CAN NOT BE ISSUED for performances on Saturdays under any circumstances . A pass will",<<< permit >>>,the bearer to transport wheelchair patrons on to the esplanade AT LEAST 60 MINUTES BEFORE THE START OF THE PERFORMANCE . The pass is not a permit to park on or near the esplanade and is valid ONLY ON THE DATE SHOWN . If you wish to apply for such a pass,"and_CJC facilities_NN2 exist_VVB for_PRP the_AT0 siting_NN1 of_PRF wheelchairs_NN2 at_PRP ground_NN1 level_NN1 at_PRP all_DT0 performances_NN2 ._PUN Passes_NN2 may_VM0 be_VBI issued_VVN which_DTQ will_VM0 allow_VVI access_NN1 by_PRP car_NN1 ,_PUN coach_NN1-VVB or_CJC ambulance_NN1 tot_NN1-VVB he_PNP esplanade_NN1 ,_PUN but_CJC they_PNP CAN_VM0 NOT_XX0 BE_VBI ISSUED_VVN for_PRP performances_NN2 on_PRP Saturdays_NN2 under_PRP any_DT0 circumstances_NN2 ._PUN A_AT0 pass_NN1 will_VM0",<<< permit_VVI >>>,the_AT0 bearer_NN1 to_TO0 transport_VVI wheelchair_NN1 patrons_NN2 on_PRP to the_AT0 esplanade_NN1 AT_AV0 LEAST 60_CRD MINUTES_NN2 BEFORE_PRP THE_AT0 START_NN1 OF_PRF THE_AT0 PERFORMANCE_NN1 ._PUN The_AT0 pass_NN1 is_VBZ not_XX0 a_AT0 permit_NN1-VVB to_TO0 park_VVI on_AVP or_CJC near_PRP the_AT0 esplanade_NN1 and_CJC is_VBZ valid_AJ0 ONLY_AV0 ON_PRP THE_AT0 DATE_NN1 SHOWN_VVN ._PUN If_CJS you_PNP wish_VVB to_TO0 apply_VVI for_PRP such_DT0 a_AT0 pass_NN1,22865192,22865192,permit,the bearer ,transport,verb,control,active,inanimate,animate,written,leisure,personal,non-imperative,9,2
